label_id,label,name_vi,name_en,icd10,aliases,summary,common_signs,common_symptoms,risk_factors,contagious,self_care,avoid,red_flags,when_to_see_doctor,urgency_level,sources,medical_review_date
0,ACNE,Mụn trứng cá,Acne vulgaris,L70,"mụn trứng cá|acne vulgaris|mụn viêm","Tình trạng nang lông bị bít tắc và viêm. Kết quả từ ảnh chỉ gợi ý khả năng liên quan, không xác nhận chẩn đoán.","mụn đầu đen; mụn đầu trắng; sẩn đỏ; mụn mủ","đau hoặc nhạy cảm tại tổn thương; da dầu","thay đổi nội tiết; mỹ phẩm gây bít tắc; tiền sử gia đình",false,"rửa mặt nhẹ nhàng; dùng sản phẩm không gây bít tắc; hạn chế chạm tay lên mặt","nặn hoặc cạy mụn; chà xát mạnh; tự dùng thuốc kê đơn","mụn đau sâu; để lại sẹo; viêm lan rộng; ảnh hưởng tâm lý rõ rệt","Khám da liễu nếu tổn thương nặng, kéo dài, lan rộng, đau hoặc để lại sẹo.",low,"https://www.aad.org/public/diseases/acne",2026-06-16
1,AK,Dày sừng ánh sáng,Actinic keratosis,L57.0,"actinic keratosis|solar keratosis|dày sừng quang hóa|AK","Tổn thương sần hoặc bong vảy trên vùng da tổn thương do tia cực tím, có khả năng tiến triển và cần được bác sĩ đánh giá.","mảng thô ráp; bong vảy; màu đỏ, nâu hoặc màu da; thường ở vùng phơi nắng","có thể ngứa, rát hoặc nhạy cảm","phơi nắng tích lũy; tuổi cao; da sáng màu; suy giảm miễn dịch",false,"che chắn nắng; dùng kem chống nắng; theo dõi thay đổi của tổn thương","cạy hoặc đốt tổn thương tại nhà; trì hoãn khám khi có thay đổi","dày nhanh; đau; loét; chảy máu; tăng kích thước","Nên khám da liễu sớm để xác nhận, đặc biệt khi tổn thương dày lên, đau, loét hoặc chảy máu.",high,"https://dermnetnz.org/topics/actinic-keratosis|https://www.cancer.gov/types/skin/patient/skin-treatment-pdq",2026-06-16
2,BCC,Ung thư biểu mô tế bào đáy,Basal cell carcinoma,C44,"basal cell carcinoma|BCC|ung thư tế bào đáy","Một dạng ung thư da thường phát triển chậm nhưng có thể xâm lấn mô tại chỗ. AI không thể xác nhận bệnh chỉ từ ảnh.","nốt bóng như ngọc; mảng hồng; vết loét lâu lành; bờ nổi","dễ chảy máu; đóng vảy; đôi khi ngứa hoặc đau","phơi tia cực tím; tuổi cao; tiền sử ung thư da; suy giảm miễn dịch",false,"bảo vệ da khỏi tia cực tím; ghi nhận thay đổi; giữ vùng tổn thương sạch","tự cắt, đốt hoặc bôi chất ăn mòn; trì hoãn khám","vết loét không lành; chảy máu tái diễn; lớn nhanh; đau hoặc phá hủy mô","Cần khám chuyên khoa da liễu sớm; đi khám nhanh hơn nếu chảy máu, loét hoặc tăng kích thước.",high,"https://www.aad.org/public/diseases/skin-cancer/types/common|https://www.cancer.gov/types/skin/patient/skin-treatment-pdq",2026-06-16
3,BKL,Dày sừng lành tính,Benign keratosis-like lesion,L82,"seborrheic keratosis|dày sừng tiết bã|benign keratosis|BKL","Nhóm tổn thương tăng sừng thường lành tính nhưng đôi khi có hình ảnh giống tổn thương sắc tố hoặc ung thư da.","nốt hoặc mảng như dính trên da; bề mặt sần; màu nâu, đen hoặc màu da","thường không triệu chứng; đôi khi ngứa hoặc kích ứng do cọ xát","tuổi tăng; yếu tố gia đình; phơi nắng",false,"tránh cọ xát; theo dõi màu sắc, bờ và kích thước","cạy hoặc tự loại bỏ; coi mọi tổn thương sẫm màu đều lành tính","thay đổi nhanh; nhiều màu; bờ bất thường; chảy máu; loét","Khám da liễu nếu tổn thương mới xuất hiện, thay đổi nhanh, chảy máu hoặc khó phân biệt với nốt ruồi.",low,"https://dermnetnz.org/topics/seborrhoeic-keratosis",2026-06-16
4,ECZEMA,Chàm da,Eczema,L30,"eczema|dermatitis|viêm da|chàm","Nhóm tình trạng viêm da thường gây ngứa, đỏ, khô và tái phát. Thông tin chỉ mang tính tham khảo.","da khô; đỏ; bong tróc; nứt; có thể rỉ dịch","ngứa; rát; khó chịu","hàng rào da suy yếu; dị nguyên; chất kích ứng; thời tiết; cơ địa dị ứng",false,"dưỡng ẩm không hương liệu; tắm nước ấm vừa; tránh tác nhân kích ứng đã biết","gãi mạnh; xà phòng hoặc mỹ phẩm gây kích ứng; tự dùng thuốc kê đơn","đau tăng; nóng đỏ; mủ hoặc vảy vàng; sốt; lan nhanh","Khám nếu tình trạng nặng, kéo dài, lan rộng, mất ngủ hoặc có dấu hiệu nhiễm trùng.",low,"https://www.aad.org/public/diseases/eczema",2026-06-16
5,MELANOMA,U hắc tố ác tính,Melanoma,C43,"malignant melanoma|melanoma|u hắc tố|ung thư hắc tố","Dạng ung thư da có khả năng xâm lấn và lan rộng. Bất kỳ gợi ý nào từ AI đều cần được bác sĩ xác nhận.","bất đối xứng; bờ không đều; nhiều màu; đường kính tăng; thay đổi theo thời gian","ngứa mới xuất hiện; đau; chảy máu hoặc loét có thể xảy ra","tia cực tím; cháy nắng; nhiều nốt ruồi; tiền sử gia đình; suy giảm miễn dịch",false,"bảo vệ khỏi tia cực tím; chụp ảnh theo dõi thay đổi; sắp xếp khám sớm","chờ tổn thương tự hết; tự cắt hoặc đốt; dựa vào AI để loại trừ ung thư","nốt mới bất thường; thay đổi nhanh về màu, bờ hoặc kích thước; chảy máu; loét","Cần khám chuyên khoa da liễu khẩn trương, đặc biệt khi tổn thương thay đổi nhanh, chảy máu hoặc loét.",high,"https://www.cancer.gov/types/skin/patient/melanoma-treatment-pdq|https://www.cancer.gov/types/skin",2026-06-16
6,NEVUS,Nốt ruồi,Melanocytic nevus,D22,"nevus|naevus|melanocytic nevus|nốt ruồi","Tổn thương sắc tố thường lành tính. Cần đánh giá trực tiếp nếu có dấu hiệu ABCDE hoặc thay đổi mới.","thường tròn hoặc bầu dục; bờ khá đều; màu tương đối đồng nhất","thường không đau hoặc ngứa","di truyền; tiếp xúc tia cực tím; thay đổi nội tiết",false,"theo dõi quy tắc ABCDE; bảo vệ khỏi tia cực tím; chụp ảnh định kỳ cùng điều kiện","cạy hoặc tự loại bỏ; bỏ qua thay đổi mới","bất đối xứng; bờ không đều; nhiều màu; lớn nhanh; chảy máu; ngứa mới xuất hiện","Khám nếu nốt ruồi mới xuất hiện hoặc thay đổi về hình dạng, màu, kích thước hay triệu chứng.",low,"https://dermnetnz.org/topics/melanocytic-naevus",2026-06-16
7,PSORIASIS,Vảy nến,Psoriasis,L40,"psoriasis|vảy nến","Bệnh viêm da mạn tính có thể tái phát, thường tạo mảng đỏ giới hạn rõ và phủ vảy. Thông tin chỉ mang tính tham khảo.","mảng đỏ; vảy trắng bạc; da nứt; có thể ảnh hưởng móng","ngứa; rát; đau; đôi khi đau hoặc sưng khớp","miễn dịch; di truyền; nhiễm trùng; stress; một số tác nhân môi trường",false,"dưỡng ẩm; tránh gãi; ghi nhận tác nhân làm bùng phát","bóc vảy mạnh; tự dùng thuốc kê đơn; ngừng điều trị đang dùng mà không hỏi bác sĩ","đỏ da diện rộng; sốt; đau hoặc sưng khớp; lan nhanh; đau nhiều","Khám nếu bệnh nặng, kéo dài, lan rộng, ảnh hưởng sinh hoạt hoặc có triệu chứng khớp.",medium,"https://www.aad.org/public/diseases/psoriasis",2026-06-16
8,SCC,Ung thư biểu mô tế bào vảy,Squamous cell carcinoma,C44,"squamous cell carcinoma|SCC|ung thư tế bào vảy","Một dạng ung thư da có thể xâm lấn và đôi khi lan sang vị trí khác. AI không thể xác nhận chẩn đoán.","mảng đóng vảy; nốt chắc; vết loét; tổn thương dạng sừng","đau; nhạy cảm; chảy máu hoặc đóng vảy tái diễn","tia cực tím; suy giảm miễn dịch; vết thương mạn tính; tuổi cao",false,"bảo vệ khỏi tia cực tím; giữ sạch tổn thương; sắp xếp khám sớm","tự cắt hoặc đốt; trì hoãn khám; che lấp kéo dài mà không đánh giá","lớn nhanh; đau; loét; chảy máu; tổn thương ở môi, tai hoặc vùng suy giảm miễn dịch","Cần khám chuyên khoa da liễu sớm; ưu tiên khẩn nếu lớn nhanh, đau, loét hoặc chảy máu.",high,"https://www.aad.org/public/diseases/skin-cancer/squamous-cell-carcinoma|https://www.cancer.gov/types/skin/patient/skin-treatment-pdq",2026-06-16
9,TINEA,Nấm da,Dermatophytosis,B35,"tinea|ringworm|dermatophytosis|hắc lào|nấm da","Nhiễm nấm bề mặt da, tóc hoặc móng và có khả năng lây qua tiếp xúc với người, động vật hoặc đồ dùng nhiễm nấm.","mảng dạng vòng; bờ đỏ có vảy; trung tâm có thể nhạt hơn; tổn thương ở da, tóc hoặc móng","ngứa; bong vảy; có thể rụng tóc hoặc móng đổi màu tùy vị trí","môi trường nóng ẩm; dùng chung đồ cá nhân; tiếp xúc người hoặc vật nuôi nhiễm nấm",true,"giữ da sạch và khô; không dùng chung khăn, quần áo hoặc dụng cụ; giặt đồ tiếp xúc","gãi; dùng chung đồ cá nhân; tự bôi corticosteroid khi chưa được đánh giá","lan nhanh; đau, sưng hoặc rỉ dịch; ở da đầu hoặc móng; suy giảm miễn dịch; không cải thiện","Khám nếu tổn thương lan rộng, tái phát, ở da đầu hoặc móng, có nhiễm trùng hay không chắc chắn nguyên nhân.",medium,"https://www.cdc.gov/ringworm/about/index.html|https://www.cdc.gov/ringworm/signs-symptoms/index.html",2026-06-16
