label_id,label,name_vi,name_en,icd10,aliases,diagnosis_note,summary,common_signs,common_symptoms,risk_factors,contagious,self_care,avoid,red_flags,red_flag_questions,when_to_see_doctor,differential_diagnosis,ask_user_questions,urgency_level,sources,source_quality,medical_review_date,last_verified_date
0,ACNE,Mụn trứng cá,Acne vulgaris,L70,acne|mụn|mụn trứng cá|mụn viêm|mụn đầu đen|mụn đầu trắng,"Không thể chẩn đoán chắc chắn chỉ dựa trên ảnh. Kết quả AI chỉ là gợi ý tham khảo; nên khám bác sĩ da liễu nếu triệu chứng kéo dài, lan rộng, tái phát hoặc có dấu hiệu cảnh báo.","Tình trạng nang lông bị bít tắc bởi dầu và tế bào chết, có thể kèm viêm; thường gặp ở mặt, ngực, lưng và vai. Thông tin chỉ mang tính tham khảo.",mụn đầu đen; mụn đầu trắng; sẩn đỏ; mụn mủ; nốt hoặc nang viêm sâu trong trường hợp nặng,đau hoặc nhạy cảm tại nốt viêm; da dầu; có thể để lại thâm hoặc sẹo; đôi khi ảnh hưởng tâm lý,tuổi dậy thì hoặc thay đổi nội tiết; tiền sử gia đình; sản phẩm gây bít tắc lỗ chân lông; một số thuốc; ma sát hoặc che phủ da,false,rửa mặt nhẹ nhàng; dùng sản phẩm không gây bít tắc; tránh chạm tay lên mặt; dùng kem chống nắng phù hợp; theo dõi đáp ứng sau vài tuần,nặn hoặc cạy mụn; chà xát mạnh; dùng kem trộn hoặc thuốc kê đơn khi chưa có hướng dẫn; bôi kem đánh răng lên mụn,mụn nang đau sâu; viêm lan nhanh; để lại sẹo; ảnh hưởng tâm lý rõ; không cải thiện sau chăm sóc ban đầu,"Mụn có đau sâu hoặc lan rộng không?; Có để lại sẹo hoặc mụn nang lớn không?; Có sốt, sưng nóng hoặc viêm lan nhanh không?; Tình trạng có ảnh hưởng tâm lý rõ rệt không?","nên khám nếu mụn nặng, đau, để lại sẹo, lan rộng hoặc không cải thiện với chăm sóc cơ bản",rosacea; folliculitis; perioral dermatitis,"Tổn thương xuất hiện bao lâu rồi?; Có đau sâu, mụn mủ hoặc để lại sẹo không?; Bạn có đang dùng mỹ phẩm hoặc thuốc bôi mới không?; Mụn có lan rộng ở mặt, ngực hoặc lưng không?",routine,https://www.aad.org/public/diseases/acne|https://www.nhs.uk/conditions/acne/|https://www.nhs.uk/conditions/acne/causes/,primary|patient_education,2026-06-16,2026-06-16
1,AK,Dày sừng ánh sáng,Actinic keratosis,L57.0,actinic keratosis|solar keratosis|AK|dày sừng ánh sáng|dày sừng quang hóa,"Không thể loại trừ ung thư da hoặc tổn thương tiền ung thư chỉ dựa trên ảnh. Kết quả AI chỉ là gợi ý tham khảo; cần bác sĩ da liễu đánh giá trực tiếp nếu tổn thương mới xuất hiện, thay đổi, chảy máu, loét hoặc không lành.","Tổn thương da thô ráp, bong vảy trên vùng da tổn thương do ánh nắng; được xem là tổn thương tiền ung thư có thể liên quan đến ung thư biểu mô tế bào vảy.","mảng hoặc dát thô ráp; bong vảy; màu hồng, đỏ, nâu hoặc màu da; thường ở mặt, tai, da đầu, cổ, tay hoặc cẳng tay","có thể ngứa, rát, đau nhẹ hoặc nhạy cảm; đôi khi dễ cảm nhận bằng tay hơn là nhìn thấy",phơi nhiễm tia cực tím tích lũy; da sáng màu; tuổi tăng; tiền sử cháy nắng; suy giảm miễn dịch,false,bảo vệ khỏi tia cực tím; dùng kem chống nắng phổ rộng; đội mũ và mặc áo chống nắng; ghi nhận thay đổi của tổn thương; sắp xếp khám da liễu,cạy hoặc bóc vảy; phơi nắng kéo dài; tự đốt hoặc tự bôi thuốc mạnh; bỏ qua tổn thương dày lên hoặc đau,tổn thương dày nhanh; đau; loét; chảy máu; không lành; tăng kích thước,"Tổn thương có dày lên, đau, loét hoặc chảy máu không?; Có lớn nhanh hoặc không lành sau vài tuần không?; Có nằm ở vùng thường phơi nắng không?; Bạn có suy giảm miễn dịch hoặc tiền sử ung thư da không?","nên khám da liễu sớm nếu nghi ngờ AK, đặc biệt khi tổn thương đau, dày, chảy máu, loét hoặc phát triển nhanh",SCC; BCC; eczema; psoriasis,"Tổn thương nằm ở vùng thường phơi nắng không?; Tổn thương có dày lên, đau, loét hoặc chảy máu không?; Tổn thương xuất hiện bao lâu và có tăng kích thước không?; Bạn có tiền sử cháy nắng hoặc suy giảm miễn dịch không?",soon,https://dermnetnz.org/topics/actinic-keratosis|https://www.cancer.gov/types/skin/patient/skin-treatment-pdq,primary|patient_education,2026-06-16,2026-06-16
2,BCC,Ung thư biểu mô tế bào đáy,Basal cell carcinoma,C44,basal cell carcinoma|BCC|ung thư biểu mô tế bào đáy|ung thư da tế bào đáy,"Không thể loại trừ ung thư da hoặc tổn thương tiền ung thư chỉ dựa trên ảnh. Kết quả AI chỉ là gợi ý tham khảo; cần bác sĩ da liễu đánh giá trực tiếp nếu tổn thương mới xuất hiện, thay đổi, chảy máu, loét hoặc không lành.","Dạng ung thư da thường gặp, thường phát triển chậm và hay xuất hiện trên vùng da phơi nắng. Cần được bác sĩ đánh giá để xác nhận và điều trị phù hợp.","nốt bóng hoặc ngọc trai; mảng hồng hoặc đỏ; vùng giống sẹo; vết loét lâu lành; có thể đóng vảy, vỡ ra hoặc chảy máu nhiều lần","thường ít đau; có thể ngứa, đau, tê, nhạy cảm hoặc chảy máu khi bị cọ xát",phơi nhiễm tia cực tím; da sáng màu; tuổi tăng; tiền sử ung thư da; dùng giường tắm nắng; suy giảm miễn dịch,false,bảo vệ da khỏi tia cực tím; giữ sạch vùng tổn thương; chụp ảnh theo dõi thay đổi; đặt lịch khám da liễu,cạy vảy hoặc làm chảy máu; trì hoãn khám khi vết loét không lành; tự bôi thuốc ăn mòn hoặc thuốc không rõ nguồn gốc,"vết loét không lành; chảy máu tái diễn; đóng mài rồi vỡ ra nhiều lần; lớn dần; nằm ở mặt, mũi, tai hoặc quanh mắt","Vết loét hoặc nốt này có lâu lành hoặc tái chảy máu không?; Tổn thương có lớn dần, đóng vảy hoặc vỡ ra nhiều lần không?; Tổn thương nằm ở vùng phơi nắng như mặt, tai, cổ không?; Bạn có tiền sử ung thư da không?","nên khám da liễu sớm nếu có vết loét không lành, chảy máu tái diễn, tổn thương lớn dần hoặc nghi ngờ ung thư da",SCC; melanoma; seborrhoeic keratosis,"Vết loét hoặc nốt này có lâu lành hoặc tái chảy máu không?; Tổn thương có lớn dần, đóng vảy hoặc vỡ ra nhiều lần không?; Tổn thương nằm ở vùng phơi nắng như mặt, tai, cổ không?; Bạn có tiền sử ung thư da không?",soon,https://www.aad.org/public/diseases/skin-cancer/basal-cell-carcinoma|https://www.cancer.gov/types/skin/patient/skin-treatment-pdq,primary|patient_education,2026-06-16,2026-06-16
3,BKL,Dày sừng lành tính,Benign keratosis-like lesion,L82,benign keratosis-like lesion|BKL|seborrhoeic keratosis|seborrheic keratosis|dày sừng lành tính|dày sừng tiết bã,"Nhiều tổn thương dày sừng lành tính có thể giống ung thư da trên ảnh. Kết quả AI chỉ là gợi ý; cần khám nếu tổn thương mới, thay đổi, chảy máu, loét hoặc khác biệt so với các nốt còn lại.","Nhóm tổn thương tăng sừng thường lành tính, trong đó thường gặp là dày sừng tiết bã với bề mặt sần, màu từ vàng nâu đến đen và cảm giác như dính trên da.","mảng hoặc nốt nổi gồ; bề mặt sáp, sần hoặc dạng mụn cóc; màu da, vàng, nâu, xám hoặc đen; ranh giới khá rõ; có thể giống như dính lên da","thường không triệu chứng; đôi khi ngứa, đỏ, đau nhẹ hoặc kích ứng do cọ xát quần áo","tuổi tăng; yếu tố gia đình; một số trường hợp có thể liên quan đến phơi nắng, tuy nhiên nguyên nhân chính xác chưa rõ",false,"tránh cọ xát; theo dõi màu sắc, bờ và kích thước; chụp ảnh nếu cần so sánh; khám khi có thay đổi bất thường",cạy hoặc tự loại bỏ; dùng hóa chất tẩy nốt tại nhà; coi mọi tổn thương sẫm màu đều lành tính; bỏ qua tổn thương thay đổi nhanh,thay đổi nhanh; nhiều màu; bờ không đều; chảy máu; loét; đau hoặc ngứa mới xuất hiện,"Tổn thương có thay đổi nhanh về màu, bờ hoặc kích thước không?; Có chảy máu, loét hoặc ngứa mới xuất hiện không?; Nốt này có khác các nốt còn lại không?; Tổn thương có xuất hiện đột ngột nhiều nốt không?","nên khám nếu tổn thương mới, thay đổi nhanh, chảy máu, loét, đau, ngứa mới hoặc khó phân biệt với ung thư da",melanoma; BCC; nevus,"Tổn thương mới xuất hiện hay đã có từ lâu?; Có thay đổi nhanh về màu, bờ hoặc kích thước không?; Có chảy máu, loét hoặc ngứa mới xuất hiện không?; Có nhiều tổn thương tương tự trên da không?",routine,https://dermnetnz.org/topics/seborrhoeic-keratosis|https://www.bad.org.uk/pils/seborrhoeic-keratosis,primary|patient_education,2026-06-16,2026-06-16
4,ECZEMA,Chàm da,Eczema,L30,eczema|chàm da|viêm da cơ địa|atopic dermatitis|viêm da,"Không thể chẩn đoán chắc chắn chỉ dựa trên ảnh. Kết quả AI chỉ là gợi ý tham khảo; nên khám bác sĩ da liễu nếu triệu chứng kéo dài, lan rộng, tái phát hoặc có dấu hiệu cảnh báo.","Nhóm tình trạng viêm da thường gây khô, đỏ, ngứa, bong tróc và có xu hướng tái phát. Có nhiều thể eczema khác nhau và cần đánh giá nếu nặng hoặc nhiễm trùng.",da khô; đỏ hoặc sẫm màu tùy màu da; bong tróc; nứt; mảng dày do gãi; có thể rỉ dịch hoặc đóng vảy khi viêm nặng,ngứa; rát; đau khi nứt da; mất ngủ do ngứa; tái phát theo đợt,tiền sử dị ứng hoặc hen; da khô; chất kích ứng; xà phòng hoặc mỹ phẩm; thời tiết; stress; nhiễm trùng da,false,dưỡng ẩm không hương liệu; tắm nước ấm vừa; tránh tác nhân kích ứng đã biết; mặc đồ mềm thoáng; dùng thuốc theo hướng dẫn nếu có đơn,gãi mạnh; tắm nước quá nóng; xà phòng hoặc mỹ phẩm gây kích ứng; tự dùng thuốc kê đơn hoặc corticoid mạnh kéo dài,mủ; vảy vàng; rỉ dịch nhiều; sốt; đau tăng; sưng nóng đỏ lan nhanh; mất ngủ kéo dài do ngứa,"Có mủ, vảy vàng hoặc rỉ dịch nhiều không?; Có sốt, đau tăng hoặc nóng đỏ lan nhanh không?; Có mất ngủ kéo dài do ngứa không?; Tình trạng có lan rộng nhanh không?","nên khám nếu eczema lan rộng, ngứa nhiều, không cải thiện, tái phát thường xuyên hoặc có dấu hiệu nhiễm trùng",psoriasis; tinea; contact dermatitis,"Vùng da có ngứa nhiều hoặc mất ngủ không?; Có rỉ dịch, mủ, vảy vàng, sốt hoặc đau tăng không?; Có tiếp xúc xà phòng, mỹ phẩm hoặc chất kích ứng mới không?; Tổn thương có tái phát nhiều lần không?",routine,https://www.aad.org/public/diseases/eczema|https://www.aad.org/public/diseases/eczema/insider/weeping-eczema|https://www.mayoclinic.org/diseases-conditions/atopic-dermatitis-eczema/symptoms-causes/syc-20353273,primary|secondary|patient_education,2026-06-16,2026-06-16
5,MELANOMA,U hắc tố ác tính,Melanoma,C43,melanoma|u hắc tố ác tính|ung thư hắc tố|ung thư da melanoma,"Không thể loại trừ ung thư da hoặc tổn thương tiền ung thư chỉ dựa trên ảnh. Kết quả AI chỉ là gợi ý tham khảo; cần bác sĩ da liễu đánh giá trực tiếp nếu tổn thương mới xuất hiện, thay đổi, chảy máu, loét hoặc không lành.",Dạng ung thư da nghiêm trọng liên quan đến tế bào sắc tố. Có thể biểu hiện bằng nốt mới bất thường hoặc nốt ruồi thay đổi theo thời gian.,bất đối xứng; bờ không đều; nhiều màu; đường kính hoặc kích thước tăng; thay đổi theo thời gian; nốt khác biệt so với các nốt còn lại,"có thể không đau; có thể ngứa, đau, chảy máu, loét hoặc đóng vảy mới xuất hiện",tia cực tím; cháy nắng; nhiều nốt ruồi; nốt ruồi không điển hình; tiền sử gia đình; da sáng màu; suy giảm miễn dịch,false,bảo vệ khỏi tia cực tím; chụp ảnh theo dõi thay đổi; không tự cắt hoặc đốt tổn thương; sắp xếp khám da liễu sớm,trì hoãn khám khi tổn thương thay đổi; tự tẩy nốt ruồi; tiếp tục phơi nắng hoặc dùng giường tắm nắng; che giấu triệu chứng chảy máu hoặc loét,"nốt mới bất thường; thay đổi nhanh về màu, bờ hoặc kích thước; chảy máu; loét; ngứa hoặc đau mới; nốt khác biệt rõ so với các nốt khác","Tổn thương có thay đổi kích thước, màu sắc hoặc hình dạng gần đây không?; Có chảy máu, đóng vảy, đau hoặc ngứa mới không?; Nốt này có khác các nốt còn lại không?; Có tiền sử cá nhân hoặc gia đình mắc ung thư da không?","cần khám da liễu sớm nếu có bất kỳ dấu hiệu ABCDE, nốt thay đổi, chảy máu, loét hoặc nghi ngờ melanoma",nevus; BKL; pigmented BCC,"Tổn thương có thay đổi kích thước, màu sắc hoặc hình dạng gần đây không?; Có chảy máu, đóng vảy, đau hoặc ngứa mới không?; Tổn thương xuất hiện từ bao lâu?; Có tiền sử cá nhân hoặc gia đình mắc ung thư da không?",urgent,https://dermnetnz.org/topics/melanoma|https://dermnetnz.org/topics/abcdes-of-melanoma|https://www.cancer.gov/types/skin/patient/melanoma-treatment-pdq|https://www.cdc.gov/skin-cancer/risk-factors/index.html,primary|patient_education,2026-06-16,2026-06-16
6,NEVUS,Nốt ruồi,Melanocytic nevus,D22,nevus|naevus|melanocytic nevus|nốt ruồi|nốt sắc tố,"Phần lớn nốt ruồi là lành tính, nhưng ảnh đơn lẻ không đủ để loại trừ melanoma. Cần khám nếu nốt mới ở tuổi trưởng thành, thay đổi, chảy máu, loét, ngứa hoặc khác biệt với các nốt còn lại.",Tổn thương sắc tố thường lành tính do tế bào hắc tố tạo thành. Cần theo dõi thay đổi theo thời gian và dấu hiệu ABCDE.,nốt hoặc mảng sắc tố; thường có màu nâu hoặc đen; có thể phẳng hoặc nổi; thường tương đối đều màu và đều bờ khi lành tính,thường không đau hoặc ngứa; có thể kích ứng nếu bị cọ xát,yếu tố di truyền; phơi nắng; da sáng màu; nhiều nốt ruồi; nốt ruồi không điển hình,false,theo dõi ABCDE; chụp ảnh định kỳ nếu cần; bảo vệ khỏi tia cực tím; khám nếu có thay đổi,cạy hoặc tự loại bỏ; bỏ qua thay đổi mới; dùng hóa chất tẩy nốt ruồi tại nhà; phơi nắng quá mức,bất đối xứng; bờ không đều; nhiều màu; lớn nhanh; chảy máu; loét; ngứa hoặc đau mới; nốt khác biệt so với các nốt còn lại,"Nốt ruồi có thay đổi kích thước, màu sắc hoặc bờ gần đây không?; Có chảy máu, đóng vảy, đau hoặc ngứa mới không?; Nốt này có khác các nốt ruồi còn lại không?; Nốt xuất hiện mới ở tuổi trưởng thành không?","nên khám sớm nếu nốt ruồi có dấu hiệu ABCDE, thay đổi nhanh, chảy máu, loét, đau, ngứa mới hoặc khác biệt rõ",melanoma; BKL,"Nốt ruồi có thay đổi kích thước, màu sắc hoặc bờ gần đây không?; Có chảy máu, đóng vảy, đau hoặc ngứa mới không?; Nốt này có khác các nốt ruồi còn lại không?; Nốt xuất hiện mới ở tuổi trưởng thành không?",routine,https://dermnetnz.org/topics/melanocytic-naevus|https://dermnetnz.org/topics/abcdes-of-melanoma,primary|patient_education,2026-06-16,2026-06-16
7,PSORIASIS,Vảy nến,Psoriasis,L40,psoriasis|vảy nến|bệnh vảy nến,"Không thể chẩn đoán chắc chắn chỉ dựa trên ảnh. Kết quả AI chỉ là gợi ý tham khảo; nên khám bác sĩ da liễu nếu triệu chứng kéo dài, lan rộng, tái phát hoặc có dấu hiệu cảnh báo.","Bệnh viêm da mạn tính qua trung gian miễn dịch, thường tạo mảng da dày, đỏ hoặc sẫm màu, phủ vảy trắng bạc và có thể tái phát theo đợt.","mảng da dày; vảy trắng bạc; ranh giới rõ; thường ở khuỷu tay, đầu gối, da đầu, thân mình; có thể thay đổi móng",ngứa; rát; đau; nứt da hoặc chảy máu; có thể kèm đau hoặc sưng khớp,yếu tố di truyền; rối loạn miễn dịch; stress; nhiễm trùng; một số thuốc; hút thuốc; rượu; chấn thương da,false,dưỡng ẩm; tránh gãi; ghi nhận tác nhân làm bùng phát; dùng thuốc theo hướng dẫn; chăm sóc da đầu và móng nếu liên quan,cào gãi mạnh; tự ngưng thuốc toàn thân; dùng thuốc bôi mạnh kéo dài khi chưa có hướng dẫn; bỏ qua đau khớp,đau hoặc sưng khớp; tổn thương lan rộng; nứt chảy máu; đau nhiều; dấu hiệu nhiễm trùng; ảnh hưởng sinh hoạt rõ,"Mảng da có ngứa, rát hoặc nứt chảy máu không?; Có đau hoặc sưng khớp không?; Tổn thương có lan rộng nhanh không?; Có dấu hiệu nhiễm trùng như mủ, sốt hoặc đau tăng không?","nên khám nếu nghi vảy nến mới, lan rộng, đau nhiều, có đau khớp, ảnh hưởng sinh hoạt hoặc không cải thiện",eczema; tinea; seborrhoeic dermatitis,"Mảng da có ngứa, rát hoặc nứt chảy máu không?; Có đau hoặc sưng khớp không?; Tổn thương có ở móng, da đầu, khuỷu tay hoặc đầu gối không?; Có yếu tố làm bùng phát như stress, nhiễm trùng hoặc thuốc mới không?",routine,https://www.niams.nih.gov/health-topics/psoriasis|https://www.aad.org/public/diseases/psoriasis,primary|patient_education,2026-06-16,2026-06-16
8,SCC,Ung thư biểu mô tế bào vảy,Squamous cell carcinoma,C44,squamous cell carcinoma|SCC|ung thư biểu mô tế bào vảy|ung thư da tế bào vảy,"Không thể loại trừ ung thư da hoặc tổn thương tiền ung thư chỉ dựa trên ảnh. Kết quả AI chỉ là gợi ý tham khảo; cần bác sĩ da liễu đánh giá trực tiếp nếu tổn thương mới xuất hiện, thay đổi, chảy máu, loét hoặc không lành.","Dạng ung thư da thường liên quan đến tổn thương do tia cực tím, có thể xuất hiện dưới dạng mảng thô ráp, nốt gồ hoặc vết loét không lành.","mảng đỏ hoặc thô ráp bong vảy; nốt dạng vòm; vết loét; tổn thương đóng vảy hoặc chảy máu; thường ở vùng phơi nắng như mặt, tai, môi, da đầu, cổ, tay","có thể đau, nhạy cảm, chảy máu hoặc loét; có thể phát triển nhanh hơn một số ung thư da khác",phơi nhiễm tia cực tím; AK trước đó; da sáng màu; tuổi tăng; suy giảm miễn dịch; tiền sử ung thư da; hút thuốc với tổn thương môi,false,bảo vệ khỏi tia cực tím; giữ sạch tổn thương; chụp ảnh theo dõi; sắp xếp khám da liễu sớm,trì hoãn khám; cạy vảy hoặc làm chảy máu; tự điều trị bằng thuốc không rõ nguồn gốc; tiếp tục phơi nắng nhiều,"lớn nhanh; đau; loét; chảy máu; vết loét không lành; tổn thương ở môi, tai hoặc người suy giảm miễn dịch","Tổn thương có lớn nhanh, đau, loét hoặc chảy máu không?; Có vết loét không lành sau vài tuần không?; Tổn thương ở môi, tai, mặt hoặc vùng suy giảm miễn dịch không?; Bạn có phơi nắng nhiều hoặc suy giảm miễn dịch không?","cần khám sớm nếu nghi SCC, nhất là khi tổn thương đau, lớn nhanh, loét, chảy máu hoặc không lành",AK; BCC; keratoacanthoma,"Tổn thương có lớn nhanh, đau, loét hoặc chảy máu không?; Có vết loét không lành sau vài tuần không?; Tổn thương ở môi, tai, mặt hoặc vùng suy giảm miễn dịch không?; Bạn có phơi nắng nhiều hoặc suy giảm miễn dịch không?",urgent,https://www.aad.org/public/diseases/skin-cancer/squamous-cell-carcinoma|https://www.mayoclinic.org/diseases-conditions/squamous-cell-carcinoma/symptoms-causes/syc-20352480|https://www.cancer.gov/types/skin/patient/skin-treatment-pdq,primary|secondary|patient_education,2026-06-16,2026-06-16
9,TINEA,Nấm da,Dermatophytosis,B35,tinea|dermatophytosis|ringworm|nấm da|hắc lào|lác đồng tiền,"Không thể xác nhận nấm da chỉ dựa trên ảnh. Kết quả AI chỉ là gợi ý; cần khám nếu tổn thương lan rộng, tái phát, ở da đầu hoặc móng, có bội nhiễm hoặc không cải thiện.","Nhiễm nấm dermatophyte ở da, tóc hoặc móng. Trên da thường có mảng ngứa, bong vảy, dạng vòng hoặc bờ rõ và có khả năng lây qua tiếp xúc.",mảng đỏ hoặc sẫm màu dạng vòng; bờ nổi rõ; bong vảy; có thể lan rộng; vùng trung tâm có thể nhạt hơn,ngứa; rát nhẹ; bong vảy; nứt da; đôi khi đau nếu bội nhiễm hoặc tổn thương ở bàn chân,tiếp xúc người hoặc vật nuôi nhiễm nấm; dùng chung khăn hoặc quần áo; môi trường ẩm; đổ mồ hôi; phòng thay đồ hoặc hồ bơi; suy giảm miễn dịch,true,"giữ da sạch và khô; không dùng chung khăn, quần áo hoặc dụng cụ cá nhân; giặt đồ tiếp xúc; che phủ tổn thương phù hợp; khám nếu lan rộng hoặc ở da đầu/móng",gãi mạnh; dùng chung khăn hoặc quần áo; tự bôi corticoid đơn thuần làm che lấp nấm; ngừng thuốc quá sớm nếu đang điều trị,"lan nhanh; đau, sưng, mủ hoặc rỉ dịch; tổn thương ở da đầu hoặc móng; không cải thiện; người bệnh suy giảm miễn dịch","Tổn thương có lan nhanh hoặc đau, sưng, rỉ dịch không?; Có ở da đầu hoặc móng không?; Có suy giảm miễn dịch không?; Có không cải thiện sau chăm sóc ban đầu không?","nên khám nếu tổn thương lan rộng, tái phát, ở da đầu/móng, có dấu hiệu bội nhiễm hoặc không cải thiện",eczema; psoriasis; pityriasis rosea,"Vùng da có ngứa và lan thành vòng không?; Có dùng chung khăn, quần áo hoặc tiếp xúc thú nuôi không?; Tổn thương có ở da đầu, móng hoặc lan rộng không?; Đã bôi steroid hoặc thuốc gì trước đó chưa?",routine,https://www.cdc.gov/ringworm/about/index.html|https://www.cdc.gov/ringworm/signs-symptoms/index.html|https://www.cdc.gov/ringworm/aboutemergingringworm/index.html,primary|patient_education,2026-06-16,2026-06-16
